x1,x2
3.063756373543109,4.6597766639988984
3.6244292068047534,3.6799728497728443
2.5904300088280054,3.632926817463813
3.4478289700871567,4.370011947359213
2.963473107664782,4.416669575492981
2.8689558209511805,3.7813016020682966
2.3383818194108565,3.8533125968404986
3.588121988466365,4.066311814479126
2.8853689879893025,4.136941915103696
3.0200041854749937,3.898178447650404
2.3019782166931133,3.5689988085234114
3.282197511017937,3.948300342648729
3.381124399571937,3.4465819791053622
2.8158671407465983,3.232902732345618
2.654674297177942,4.1210816084496615
2.999250407915759,4.218371887403316
2.8122058589333676,4.776560438144358
2.413997747762085,3.6392094871522946
2.9172572719727183,3.9996035952124163
3.1441978719307113,4.111780478527287
2.728946091166896,4.053529603850604
2.847140908005648,4.345232644093444
2.866062515180068,4.368870993133652
2.810993621202412,4.122743596592704
3.0161196473667293,4.585301372422421
2.924447866270605,3.7936722358644586
3.256480170886129,3.7410331837849076
3.2993597367669514,4.112387753846561
3.1456827518214756,3.2686871589358066
3.2459411853737583,4.078637066062883
2.7564686101124756,3.4231741320913867
2.5393572001018243,4.335034955616005
2.6939307320565122,4.019529216915701
2.8424591104912094,4.560661343775984
3.0438788621589405,4.150794762249025
2.9479706217583175,4.057646187491863
3.467739595745617,3.4853616196021755
3.2948509315232033,4.07592587673376
2.999354502473287,4.3197409302091865
3.0989579602363886,4.314845727472955
3.0785439095553317,4.025151000745073
2.3175960490116814,4.844656635664003
3.0621412419021,4.1075356349769025
3.2444447527658555,3.8103420725128223
3.2954474194363135,4.6764636337579875
2.86130532154591,3.8736577857866252
2.7535880663172994,3.963691323072303
2.93309599485225,3.671313821825397
2.1149257754296302,3.813070614260684
2.540145140910138,3.8646054191990924
3.321035176440566,3.819474912184662
2.6564776691105245,3.4679931002313005
3.214159700773894,3.6750450531799603
2.814809724943486,3.9273264495936395
2.99294177121269,4.229021790637626
3.5273771655657953,3.842149851244531
3.0763247600299946,4.159582586129337
2.747195905284756,4.367590060534724
2.8245008881804186,3.946001762315304
3.435378635319355,3.9823219213522023
3.101263310574742,4.435022865223138
2.725528848298842,3.64035434823982
3.1852249625420868,4.200008999675785
3.030420440257351,4.4953864436611815
3.2138446647705554,4.3688630810267375
3.170341455451438,4.080647388516629
2.645813708634436,4.4137934656439
2.3306253904737906,4.553379249352061
2.927371127150532,3.293166534827873
2.983635920568037,4.042248168342562
2.076994341218312,4.338797177777158
2.9811904567951735,3.7072591831635098
2.6686881824436592,3.8729552046649793
3.241767806319827,4.3831939032823986
3.682159054730778,4.166319338467933
2.6164319393068363,3.9033038703150558
2.669119233148457,4.085723599455501
2.84988786057507,4.15006860797511
3.011317381153524,4.076813656763512
2.6213531795388176,4.340549984101549
3.028765693351335,3.808477572746377
3.2196728906744783,3.8726524656437338
2.88282645703076,4.21924985531459
3.287963921752028,4.014239349393688
3.7167975804835933,4.447537094226854
2.2218861045462095,3.736795027878923
2.3416161610205872,3.7926502411050347
2.706498660049186,4.302280947541219
2.9591488697402246,4.69207209304687
2.5448804944325616,3.84276675007265
2.795303536193229,4.129073882642439
2.9024066389978214,3.8004901601509085
2.6607561363781236,4.18068070857014
3.115630149104624,3.45951438805649
3.172626454251049,4.1973822117941175
2.6461786956959785,4.269223759895313
2.554102162138498,4.448278186743874
3.1599281017079783,3.5234875652728928
2.9333828060910436,3.9509113542101773
3.470821042317796,3.8465000124184145
